Chapter,Policy,Description
"Mitigating and Adapting to Climate Change","CLC1 : Climate Change","Policy CLC1: A Carbon Neutral, Climate Adapted Borough

The Plan will reduce Basingstoke and Deane borough’s carbon footprint to support the council’s climate emergency declaration and ecological emergency declaration. The council will implement spatial planning policies, which together with other mechanisms, will enable the borough to become carbon neutral by 2030. This will require radical and rapid reductions in greenhouse gas emissions.

To support this target, and to respond to the changes to the climate that are already occurring, new development will reduce carbon emissions and other greenhouse gas emissions and adapt to the impacts of climate change in line with the following principles:

Minimising the whole life greenhouse gas emissions of new development; Operational energy will be reduced in accordance with the energy hierarchy with a focus upon energy efficiency and on-site renewable energy; Embodied carbon will be minimised through sustainable design approaches (as detailed in Policy ENV11);
New homes will be ultra-low energy, use low carbon heat, contribute to the generation of renewable energy on-site and be constructed with low levels of embodied carbon (as detailed in Policy ENV11);
Minimising emissions from transport by ensuring the design, layout and location of new development minimises the need to travel (as detailed in Policy SPS5);
Delivering a significant modal shift by prioritising Active Travel (walking and cycling) and other forms of movement that result in no emissions as well as the increased use of public transport, in line with the Basingstoke Transport Strategy or its successor (as detailed in Policy INF2);
Supporting low carbon lifestyles and the low carbon economy, including communication technologies with scope to meet future changes as they arise as well as the use of electric cars (as detailed in Policies EMP1 and INF2);
Supporting the decarbonisation of existing homes and industry (as detailed in Policy ENV11);
Maximising green infrastructure to sequester carbon, provide urban cooling, deliver biodiversity net gains, and provide natural flood management (as detailed in Policies ENV6 and ENV7);
Optimising opportunities for renewable and low carbon energy generation, decentralised energy and heating and utilisation of waste heat (as detailed in Policy ENV13);
Keeping fossil fuels in the ground (as detailed in Policy ENV11);
Minimising water use and waste arising from the construction and use of buildings (as detailed in Policy ENV12);
Directing development to locations that minimise risks arising from climate change (as detailed in Policy ENV10); and
Promoting adaptation measures and reducing vulnerability to the impacts of climate change (as detailed in Policy ENV12)."
"Delivering the Spatial Strategy","Policy SPS1 - Scale and Distribution of Development","Policy SPS1: Scale and Distribution of Development
The council will take a positive approach to development proposals that reflect the presumption in favour of sustainable development as set out in the National Planning Policy Framework.

Development and redevelopment will be permitted within Settlement Policy Boundaries where it contributes to social, economic and environmental well-being. In particular, development will be encouraged on suitable brownfield sites. 

Sites outside Settlement Policy Boundaries will be considered to lie in the countryside, where development will be permitted where it complies with policies in the plan, or it can be demonstrated that it has an essential need to be located in the countryside and is sustainable.

Within the plan period from 2021 to 2040, the council will make provision for at least 16,180 new homes and associated infrastructure, phased in a stepped trajectory as follows: 

880 in 2021/2 to meet the standard method figure
At least 850 homes for the four years up to adoption to meet the standard method figure (2022-2026)
At least 660 homes a year for the first five years post adoption (2026-2031)
At least 955 homes a year for the remainder of the Plan (2031 – 2040). 
In addition to the delivery of existing commitments and allocations, this will be provided by:

Supporting regeneration, including in Basingstoke Town Centre, in line with Policies SPS2, SPS3, SPS4 and SPS9;
Allocating new sites or extensions to sites, as set out in Policy SPS5, to provide approximately 5,390 homes over the plan period;
Supporting the delivery of new homes through Neighbourhood Planning, in line with Policy SPS6; and
Resisting developments that involve a net loss of housing, unless it can be demonstrated that the benefits outweigh the harm.
Employment uses (including offices and industrial uses) will be supported within Strategic Employment Areas and other suitable locations in accordance with Policy EMP1 and EMP4 in order to meet the needs identified through the council’s Economic Needs Assessment.

Main town centre uses (such as retail and leisure) will be directed to designated centres in accordance with Policy EMP3."
"Delivering the Spatial Strategy","Policy SPS2: Regeneration","Policy SPS2: Regeneration

Regeneration proposals, including within the initial priority areas of Buckskin, South Ham, Norden and Winklebury (indicatively illustrated on Figure 1 below), will be supported where they would result in a demonstrable benefit to the local community, providing new homes and an improved local environment with enhanced facilities to meet local needs.

A minimum of 200 net additional new homes will be provided through regeneration opportunities over the plan period.

The preparation of proposals will require full involvement and consultation with the affected local communities. Masterplans and or design codes must be prepared for large scale proposals, demonstrating that they will positively support and complement any comprehensive wider development of the area. Masterplans and design codes will also ensure that a very high standard of design will be achieved and will be adopted as a Supplementary Planning Document prior to any relevant development proposals being determined.

Regeneration will be achieved through redevelopment, the refurbishment of existing buildings (where this minimises the embodied energy arising from new construction), and improvements to the public realm, local infrastructure and environment including local open spaces. The replacement of existing older homes with highly sustainable new or refurbished homes will reduce the borough’s carbon emissions (as required by the Local Plan’s low carbon building policies) and support the council’s climate and ecological emergency declaration."
"Delivering the Spatial Strategy","Policy SPS3: Delivering the Basingstoke Town Centre Masterplan","Policy SPS3: Delivering the Basingstoke Town Centre Masterplan

Development proposals must positively contribute to the vitality and viability of the town centre. This will ensure Basingstoke town centre remains the borough’s principal centre for retail, supported by leisure, employment, community, cultural and residential uses.

Development proposals must support, and not prejudice, the implementation of the Masterplan for Basingstoke Town Centre (December 2022) and be consistent with the following key objectives for future change. The town centre will:

Be highly sustainable, resilient to climate change and embrace innovative ways to improve the environment, in order to address the council’s Climate Emergency declaration.
Be a high-quality and distinctive urban environment that provides inspiring buildings, streets and public spaces and ensures positive experiences for residents and visitors.
Have a sense of place which supports its identity as a north Hampshire town and which is informed, as appropriate, by its historic, cultural and architectural heritage.
Provide for a variety of biodiversity enhancements, with a strong network of green spaces and natural features.
Be a destination for residents and visitors of all ages, with a strong sense of vitality in the daytime and the evening, and support thriving communities.
Be well-connected, with walking, cycling and public transport being the predominant modes of travel into and across the town centre.
Enable innovation and creativity to thrive.
Embraces, promotes, and is connected to local heritage and culture, contributing to the sense of place.
In order to achieve these objectives, planning permission will be granted where development proposals meet the following criteria where they are relevant to the scale and nature of the proposal:

Contribute to the provision of a complementary mix of town centre uses within the Town Centre boundary (as defined by Policy EMP3), with the predominant land uses being retail, leisure (including sport), employment (including office, creative and co-working spaces), community and culture (including arts);
Deliver approximately 400 homes, focused in, but not limited to, the areas of change outlined in Policy SPS4;
Locate retail and leisure uses within the Primary Shopping Area as defined on the Policies Map;
Achieve a high standard of design, which responds positively to the key objectives set out above;
Protect existing, and introduce new green and blue spaces, green links, street trees and other forms of greenery throughout the town centre such as green walls;
Support the creation of new streets at ground level, fronted by buildings and public spaces which are high quality, flexible and adaptable for multiple uses;
Support the provision of high quality public spaces which contribute to a sense of civic pride and provide facilities which meet the needs of all residents and visitors.
Provide or retain active frontages at ground floor level;
Take appropriate opportunities to incorporate residential development, particularly above ground floor level. This should include a mix of different housing types, sizes and tenures, be of a high standard of residential amenity, and have access to supporting infrastructure and private amenity space;
Assist new parking facilities to, include integrated charging for electric vehicles, ensure they are future proofed for new technologies, are enabled to form part of a wider smart energy grid; and make provision for community car services;
Make provision for parking to meet the needs of residents as well as ensuring that the parking requirements of visitors is met in facilities in nearby locations.  Where decked parking can be shown to be required, it should be developed as an independent structure;
Include safe, legible and functional walking and cycling routes to provide improved connectivity across the town centre, and safeguard and improve connections between the Top of Town and the station, between Basing View and the station, and between Basing View and Festival Place. Cycle routes should be well connected to the wider cycle network (in relation to the town and its surroundings), and pedestrian routes should provide safe passage for pushchairs and wheelchairs;
Incorporate new secure and high quality cycle parking for visitors, workers and residents; and
Facilitate the provision of a high quality public transport focussed on the town centre, including safeguarding suitable corridors, interchanges and supporting associated infrastructure.
Ensuring the successful delivery of the town centre strategy is likely to involve various transitional arrangements in order to facilitate the development process. Where these are required, they should ensure that the town centre continues to operate effectively in functional terms, and ensure that any impacts on the character of the area are mitigated successfully and in a proportionate way to the nature of the works in question."
"Delivering the Spatial Strategy","Policy SPS4: Basingstoke Town Centre – Areas of Change","Policy SPS4: Basingstoke Town Centre – Areas of Change

Development proposals within the Areas of Change identified on the Policies Map/Illustrative Plan must support and not prejudice the Masterplan for Basingstoke Town Centre (December 2022), in line with the key principles and criteria set out in Policy SPS3 (Basingstoke Town Centre).

1. The Malls

Development proposals in this area must:

Establish a coherent and linked set of streets, including those Key Routes identified in the Policies Map, which improve connectivity between the railway station and Festival Place, Church Street, The Anvil and to Basing View;
Enable Churchill Way to be an outdoor street providing enhanced connections between the eastern and western parts of the town centre;
Enable the provision of a Transport Hub to integrate rail and bus travel;
Include a mix of town centre uses supported by housing with active frontages and with an emphasis on ground floor retail uses on the Key Route connecting the railway station to Festival Place;
Provide a network of green spaces, green links, street trees and public open spaces; and
Be up to six storeys in height with the potential for taller buildings nearer the station.
2. Church Street

Development proposals in this area must:

Enable new streets or new active frontages at ground level, and remove barriers to improve visual and physical connectivity between Church Street northwards towards the railway station, eastwards to Festival Place and to the south to Top of the Town;
Protect the historic character of this area by having due regard to the Town Centre Conservation Area Appraisal and Management Plan with development typically up to four storeys in height;
Integrate with the enhancement of the public realm in the town centre including Glebe Gardens;
Include a mix of town centre uses supported by housing with active frontages on the ground floor; and
Protect Glebe Gardens, including its setting, and provide a network of green spaces, green links, street trees and public open spaces.
3. Eastrop

Development proposals in this area must:

Establish a coherent and linked set of streets, including those Key Routes identified in the Policies Map, which improve connectivity between the Festival Place, the railway station and Basing View;
Include a mix of town centre uses supported by housing with active frontages on the ground floor;
Provide a network of green spaces, green links, street trees and public open spaces with green linkages to Eastrop Park;
Respond positively to Eastrop Park with development fronting onto the Park; and 
Be up to six storeys in height with a scale and massing which is sympathetic to the existing scale of buildings, including lower scale residential areas to the south. There is potential for taller buildings in the northern part of this Area of Change.
4. Top of the Town

Development proposals in this area must:

Be of a scale and appearance which is sympathetic to the historic character of the area and neighbouring development with development up to three storeys in height and have due regard to the Town Centre Conservation Area Appraisal and Management Plan and, where relevant, to the Fairfields Conservation Area Appraisal;
Include a mix of town centre uses supported by housing with active frontages on the ground floor; and
Support the creation of a network of pedestrian routes and to improve the pedestrian environment, including the creation of a tree lined street along New Road."
"Delivering the Spatial Strategy","Policy SPS5: Sites Allocated for Housing Led Development","Policy SPS5: Sites Allocated for Housing Led Development

The following sites, as shown on the Policies Map, are allocated and should be developed in accordance with policies within the Plan and the site-specific requirements set out in the individual site policies.

In bringing forwards development, it will be a requirement to ensure that the necessary infrastructure is provided at a rate and scale to meet the needs that arise for the development, in accordance with both the IDP and through conformity with the appropriate standards, as set out in Appendix 2.

Development on the sites is expected to come forward through a design led approach, involving the local community. For the larger sites, and where outlined in the individual policies, it will be necessary for a Masterplan and Strategic Design Code to be prepared. The Masterplans are included in Appendices XX to XX of this Local Plan [to be produced post-Regulation 18].  Strategic Design Codes will be adopted as Supplementary Planning Documents prior to the grant of full planning permission or the first reserved matters for the site or a phase.  Masterplans and Strategic Design Codes will be an important material planning consideration in the determination of planning applications. Where sites are adjacent to each other, masterplanning should be undertaken jointly.
 

Existing strategic housing led allocations from adopted Local Plan

SPS5.1 – Northern Manydown (Approx. 4,000 homes)

SPS5.2 - Basingstoke Golf Course (1,000 homes)

SPS5.3 - Hounsome Fields (750 homes)
 

New strategic housing led allocations

SPS5.4 - Southern Manydown (Approx. 7,500 homes with 2,400 in the plan period)

SPS5.5 - Popham Garden Village (Approx. 3,000 homes with 1,400 in the plan period)

SPS5.6 - East of Basingstoke (Approx. 900 homes, 450 additional to current allocation)

SPS5.7 - Sherfield Hill Farm (Approx. 300 homes)

SPS5.8 - Land West of Marnel Park (Approx. 200 homes)

SPS5.9 - Weybrook Park Golf Course (Approx. 220 homes)

SPS5.10 - Overton Mill, Overton (Approx. 340 homes)
 

Smaller sites

SPS5.11 - Redlands Lodge (Approx. 16 homes)

SPS5.12 - Land adjacent to Weybrook Park Golf Course (Approx. 30 homes)

SPS5.13 - 16 Southern Road ( Approx. 9 homes)

SPS5.14 - 65 New Road (Approx. 6 homes)

SPS5.15 - Land off Ashwood Way (Approx. 18 homes)"
"Delivering the Spatial Strategy","Policy SPS5.1: Northern Manydown","Policy SPS5.1: Northern Manydown

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Provide for the phased delivery of approximately 4,000 dwellings;
Be in accordance with the principles of the Concept Plan and the Manydown Development Brief Supplementary Planning Document (2016);
In addition to the mix of dwelling sizes and types, make provision for a proportion of self-build units and also, in conjunction with other sites, a permanent, pitch / plot provision to meet identified accommodation needs of Gypsies, Travellers and Travelling Showpeople in the borough, such needs being identified in the council’s Gypsy and Traveller Accommodation Assessment (and any updates);
Include the provision of social and physical infrastructure, including community facilities, local shopping facilities, healthcare facilities and sports and leisure facilities including playing pitches with an Infrastructure Delivery Strategy to demonstrate that the infrastructure requirements of the Manydown allocation have been comprehensively planned and will be met;
Phased provision of two primary schools (a two form entry and a three form entry) and also reserve land for the phased provision of a secondary school, if required;
Include appropriate green space/green infrastructure, including allotments, to meet local needs in line with the council’s adopted standards, ensuring that all green space is provided on site, and provide links to assist in the delivery of green infrastructure networks within and adjoining the site;
Make provision for a country park, as identified on the Policies Map, which is accessible to existing nearby residential areas; and
Respond positively to the special characteristics and sensitivities of the landscape, including the setting of the North Wessex Downs National Landscape, and also the setting and form of existing development. Visual intrusion into the wider landscape should be limited; the design of outward facing edges of development should respect and enhance the adjacent countryside and opportunities should be taken to provide linkages to the existing landscape framework;
Conserve and enhance the architectural and historic significance of the Worting Conservation Area and its listed buildings including Worting House, respecting their setting, and ensuring sufficient mitigation is put in place when required;
Retain the separate identity and character of Wootton St Lawrence and Oakley and restrict coalescence between the new development and these villages. The development will also retain the separate identity and character of Worting and Winklebury, including conserving the ancient boundary of the Roman Road as a green boundary;
Provide for the retention and careful management of any important archaeological remains, within and adjacent to the site, in a manner appropriate to their significance;
Avoid or mitigate the direct and indirect adverse impacts on key species and habitats, including rare arable flora and Sites of Importance for Nature Conservation within and adjacent to the site. Where this is proved not to be possible, mitigation and compensation for the loss will be required to ensure at least a 10% net gain in biodiversity. Opportunities will be taken to secure the creation and management of linkages between existing woodlands;
Include measures to mitigate the impact of development on the local road network including improvements to the A339, Roman Road (and associated road junctions), the B3400, Pack Lane, and the road through Wootton St Lawrence with appropriate measures to maintain accessibility for existing residents and ensure safe and convenient access for all road-users;
Include provision of a road through the land allocated for housing, from the A339 to the B3400, linking the proposed housing to the existing communities and to provide the ability to connect to potential future sites to the south, with the location and design of the road being determined through the master-planning process to achieve the optimum balance between movement and place-shaping. Land shall be safeguarded for a potential future crossing of the railway;
Evaluate a range of options during the detailed master-planning phase for providing access to Manydown which aid permeability to and from the site in a manner that ensures proper consideration is given to a range of matters (e.g. rat-running) which potentially affect the quality of life for existing communities. In addition, there should be safe and convenient access from Winklebury by means of footpaths and cycle paths connecting to the Country Park.
Include measures to improve accessibility by non-car transport modes including the provision of internal walking and cycling routes linked to existing external routes, the Public Rights of Way network and the Strategic Cycle Network, with direct cycle access to the town centre and the provision of public transport from the outset;
Incorporate and/or promote renewable and low-carbon energy technologies;
Ensure acceptable noise standards can be met within homes and amenity areas through suitable mitigation measures in light of the adjacent main roads and railway line;
Ensure adequate infrastructure is provided for sewerage (on and off site) and surface water drainage and produce a drainage strategy;
Ensure that it is well integrated with development at Southern Manydown.
On the land south of the railway line and north of Pack Lane, development will be limited to a yield of up to 300 units, unless workable transport mitigation measures can be demonstrated to support a higher yield."
"Delivering the Spatial Strategy","Policy SPS5.2: Basingstoke Golf Course","Policy SPS5.2: Basingstoke Golf Course

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for approximately 1,000 dwellings;
Be in accordance with the principles of the Concept Plan and the Basingstoke Golf Course Development Brief Supplementary Planning Document (2019);
In addition to the mix of dwelling sizes and types, make provision for a proportion of self-build units and also, in conjunction with other sites, a permanent, pitch/plot provision to meet identified accommodation needs of Gypsies, Travellers and Travelling Showpeople in the borough, such needs being identified in the council’s Gypsy and Traveller Accommodation Assessment (and any updates);
Include the provision of social and physical infrastructure, including the provision of a community centre, local shopping facilities, and sports facilities including playing pitches with adequate land to meet the outdoor sports needs of both this site and the development on Hounsome Fields with an Infrastructure Delivery Strategy to demonstrate that the needs of the development sites in south-west Basingstoke have been comprehensively planned and will be met;
Respond positively to the special characteristics and sensitivities of the landscape and respect its location, providing for integration with nearby residential areas;
Avoid or mitigate direct and indirect adverse impacts on key species and habitats, including the adjacent Peak Copse Site of Importance for Nature Conservation through adequate buffering, ensuring the retention of key woodland areas and less managed grasslands and by mitigating and/or compensating any adverse impacts to ensure a net gain in biodiversity. Opportunities will be taken to create and enhance habitat connectivity between existing key habitats;
Include measures to mitigate the impact of development on the local road network including improvements to the A30 corridor;
Provide all-purpose vehicular accesses from both Winchester Road (A30) and Beggarwood Lane supported by emergency accesses, ensuring that the most appropriate location for access from the A30 is identified, taking into account the requirement to access Hounsome Fields (Policy SPS5.3);
Prevent ‘rat-running’ through the site between Beggarwood Lane and Winchester Road (A30) by including measures and/or designing the road layout to discourage the passage of through traffic;
Include measures to improve accessibility by non-car transport modes, including the provision of internal walking and cycling routes linked to existing external routes, the Public Rights of Way network, and the Strategic Cycle Network, with direct access to the town centre, and facilitating improved access towards Dummer, improving the links to the existing Winchester Road bus stops, and providing safe and convenient crossing points to facilities provided on Hounsome Fields (Policy SPS5.3);
Ensure the provision of public transport from the outset;
Ensure adequate infrastructure is provided for sewerage (on and off site) and surface water drainage and produce a drainage strategy;
Avoid development and points of access in the small area of the site within flood zone 2;  
Include appropriate open space/green infrastructure, including allotments, to meet local needs in line with the council’s adopted standards, providing links to the existing green infrastructure network;
Ensure acceptable noise standards can be met within homes and amenity areas through suitable noise mitigation measures in light of the proximity of the site to the A30 and M3;
Incorporate and/or promote renewable and low carbon energy technologies.
Ensure, through joint masterplanning, and joint infrastructure planning, that it provides a comprehensive development with and Hounsome Fields (Policy SPS5.3)."
"Delivering the Spatial Strategy","Policy SPS5.3: Hounsome Fields","Policy SPS5.3: Hounsome Fields

The site, as shown on the Policies Map, is allocated for a well-designed and sustainable development that will:

Make provision for approximately 750 dwellings;
Be in accordance with the principles of the Concept Plan;
In addition to the mix of dwelling sizes and types, make provision for a proportion of self-build units and also, in conjunction with other sites, a permanent, pitch/plot provision to meet identified accommodation needs of Gypsies, Travellers and Travelling Showpeople in the borough, such needs being identified in the council’s Gypsy and Traveller Accommodation Assessment (and any updates);
Include the provision of social and physical infrastructure, including the provision of a community centre, local shopping facilities, indoor sports facilities a three form entry primary school, and early years facilities, with an Infrastructure Delivery Strategy to demonstrate that the needs of the development sites in south-west Basingstoke, including outdoor sports, have been comprehensively planned and will be met;
Respond positively to the special characteristics and sensitivities of the landscape, ensuring that the density, heights and layout of buildings respond positively to the site and its setting, create an attractive gateway into Basingstoke, and minimise any visual impact;
Include a robust landscape strategy that creates a strong defensible boundary between the site and open countryside, respecting the Roman Road as a landscape feature and existing hedgerows and woodlands. The layout should incorporate the existing landscape structure within the proposal, reinforcing and extending the existing green infrastructure network within the site, ensuring that links are made with the green infrastructure network outside the site;
Conserve and enhance the architectural and historic significance of the Grade II listed Southwood Farmhouse and its setting, which lies close to the south western boundary of the site, subject to allowing a sufficient landscape buffer to preserve a sense of the rural setting and context of the listed building, and ensuring that adequate mitigation measures to protect its setting are put in place;
Include measures to mitigate the impact of development on the local road network including improvements to the A30 corridor;
Provide all-purpose vehicular accesses from the Winchester Road (A30), ensuring that the most appropriate location for this is identified, taking into account the requirement to provide vehicular access to site SS5.2 (Basingstoke Golf Course);
Include measures to improve accessibility by non-car transport modes, including the provision of internal walking and cycling routes linked to existing external routes, the Public Rights of Way network and the Strategic Cycle Network, with direct access to the town centre and facilitating improved access towards Dummer, improving the links to the existing Winchester Road bus stops and providing safe and convenient crossing points for the A30;
Ensure the provision of public transport from the outset;
Make provision for vehicular access requirements that may be needed to serve future development to the north-west of the site;
Ensure adequate infrastructure is provided for sewerage (on and off site) and surface water drainage and produce a drainage strategy;
Avoid development and points of access in the vicinity of the part of the site falling within flood zone 2;
Include appropriate open space/green infrastructure, including allotments, to meet local needs in line with the council’s adopted standards, providing links to the existing green infrastructure network;
Ensure acceptable noise and air quality standards can be met within homes and amenity areas through suitable design and noise and air quality mitigation measures in light of the proximity of the site to the A30;
Incorporate and/or promote renewable and low carbon energy technologies;
Ensure, through joint masterplanning and joint infrastructure planning that it provides for a comprehensive development with Basingstoke Golf Course (Policy SPS5.2) allocations, and provides pedestrian and cycling connectivity to Longacre and Southern Manydown (Policy SPS5.4)."
"Delivering the Spatial Strategy","Policy SPS5.4: Southern Manydown","Policy SPS5.4: Southern Manydown

Southern Manydown, as shown on the Policies Map is allocated for a well-designed and sustainable development that will:

Amount and Type of Development

Make provision for:
Approximately 7,500 homes;
Specialist accommodation for older persons;
5% as serviced plots for custom and self-build homes;
A new hospital and health campus; 
Employment uses for storage and distribution (B8), industrial, and supporting office uses;
Education facilities;
A district centre and neighbourhood centres providing a range of retail, leisure, cultural, community, health, service and employment facilities; and 
Permanent Gypsy and Traveller pitches, proportionate to the size of the site when considered in relation to the overall need for pitches as set out in the latest version of the Gypsy and Traveller Accommodation Assessment.
Development Principles

Masterplanning

Be in accordance with the principles set out in:
The Concept Plan;
The Masterplan included in Appendix XX (to be produced prior to the Regulation 19 edition of the Local Plan);
A Strategic Design Code which will be adopted as a Supplementary Planning Document prior to the grant of a full planning permission or the first reserved matters within a phase;  
Enable the hospital and associated health campus, storage and distribution floorspace, district centre and transport interchange to be located close to Junction 7 of the M3 and the A30 to reinforce the role of this area as a gateway to Basingstoke;
Design and Landscape

The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area.  Particular regard should be paid to the setting of the North Wessex Downs National Landscape.  Visual intrusion into the wider landscape will be limited and the scale, design and layout of development on the higher ground and on the outward facing edges of the site will enable a suitable transition to the adjacent countryside;
Ensure development is sympathetically integrated with and connected to existing communities in western Basingstoke, and new communities including North Manydown and Hounsome Fields;
Retain the physical and visual sense of separation between the development and Dummer, North Waltham and Oakley, and retain those villages’ separate and historic identities. The development will maintain the relevant strategic gaps;
Biodiversity

Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network, including Old Down;
Achieve a minimum 10% biodiversity net gain secured by a site management plan;
Heritage

Preserve or enhance the significance, setting, character and appearance of the conservation areas in Dummer, North Waltham, Church Oakley and Worting through the protection of views to and from those conservation areas;
Preserve the significance of listed buildings, including the Grade II listed Breach Farmhouse and Southwood Farmhouse, through preservation of their settings by provision of sufficient space and landscape buffers around the buildings;
Provide for the retention and careful management of important archaeological remains within and adjacent to the site, including the Battledown Scheduled Monument, in a manner appropriate to their significance with a sensitive landscaping strategy;
Flooding and Pollution

Ensure that appropriate flood risk management measures are provided including sustainable drainage systems (SuDS);
Ensure that noise impacts are successfully mitigated through suitable measures, in particular in locations close to the railway line and close to the non-residential development.
Infrastructure

Provide an Infrastructure Delivery Strategy with each full or outline planning application to demonstrate that the site’s total infrastructure requirements, and the infrastructure required across the Local Plan Period, have been comprehensively planned and phased, and that appropriate and transparent measures have been put in place to equalise costs between all landowners/developers.  The Infrastructure Delivery Strategy should also have regard to the infrastructure requirements of the site in its totality;
Energy

   o.     Incorporate renewable and low carbon energy technologies including utilising opportunities for district heating using waste heat generated by the                       hospital and health campus;

Social and community

Make on-site provision for four primary schools (three 3 form of entry and one 2 forms of entry), a special educational school, and reserve land for two secondary schools. The location of the school sites should encourage pupils to travel by active travel; 
Make on-site provision for community facilities, early years childcare, healthcare facilities, and indoor and outdoor sports facilities which will meet the need of the new development, as required by the council’s Infrastructure Delivery Plan;
Green Infrastructure

Make on-site provision for suitable amounts of open/green space including allotments in accordance with the council’s Green Space standards in a manner that is well related to the overall layout and character of the development, taking account of how it relates to its surroundings. This will include a neighbourhood park of at least 10ha. The green infrastructure provision will incorporate effective green infrastructure links (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which links to the surrounding countryside, habitats, Public Rights of Way and other walking/cycling links. The delivery of green space and play will be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Transport

Make provision for safe, suitable and convenient access for all users, prioritising active travel (walking and cycling), and access to high quality public transport services that offer a genuine choice of transport modes;
Demonstrate that the design of the means of access and the associated highway improvements take into account the totality of the development and do not prejudice the provision of safe, suitable and convenient access to serve the Oakdown Farm site allocation (Policy SPS9 via the A30) and the North Manydown site allocation (Parcel 6a via Pack Lane);
Be subject to the submission of a comprehensive and robust Transport Assessment and supporting site wide Travel Plan that seeks to:
Minimise the need to travel and prioritises and promotes active travel and public transport use within and beyond the site, to minimise the transport impacts arising from the development;
Ensure that the development will not have a severe adverse impact on the local and strategic highway networks, nor an unacceptable impact upon highway safety, with the inclusion of suitable measures to mitigate the impact;
Provide layouts, street designs and associated measures that prioritise and maximise active travel and ensure the ability to service the site by public transport services within and beyond the site. This will include a suitable Access, Movement and Place Strategy covering:
The phased delivery of an active travel and public transport corridor extending northwards from the southern part of the site towards Pack Lane and southwards from the northern part of the site towards the A30, designed to connect with North Manydown;
The provision of suitable traffic management measures to control access by general traffic and to prevent open access between the A30 and Pack Lane, other than by active travel and public transport services;
The phased delivery of a new railway crossing to provide active travel and public transport connectivity to North Manydown.
The provision of new high-quality public transport services to provide rapid and frequent access to/from Basingstoke town centre (including Basingstoke Railway and Bus Stations) and other local facilities and services.  This will serve the residents and users of the first phases of development at the southern and northern parts of the site and subsequent phases thereafter, including Mobility Hubs and accessible and convenient boarding and waiting facilities, located to maximise access and encourage public transport use;
An on-site dedicated network of segregated facilities for pedestrians and cyclists that integrate with the existing movement networks, including the Public Rights of Way network;
The provision of new and improved off-site connections for pedestrians and cyclists, providing safe, suitable and convenient access to the surrounding communities, facilities, services and employment opportunities including Oakley village centre and Basingstoke town centre.  This will include improved walking and cycling provisions along the A30 corridor, Pack Lane and on Buckskin Lane;
Provide a Park and Ride facility near to the A30 with convenient access for users and public transport services, supported by a Mobility Hub.  A further Mobility Hub should also be provided at the northern end of the site, together with other Mobility Hubs in due course to serve the subsequent phases of the development. All mobility hubs should be sensitive to their setting;
Provide details of a parking strategy for the site;
Utilities

Provide or contribute towards suitable infrastructure for sewerage (on and off site), foul water and other utilities."
